城市,普中全市,普中市辖区,普小全市,普小市辖区
  张掖市,61,34,143,21
  平凉市,164,35,734,153
  酒泉市,55,23,125,34
  庆阳市,165,25,,95
  定西市,212,34,611,48
  陇南市,231,18,1522,262
青海省,,,,
  西宁市,96,51,139,65
  海东市,138,10,239,62
宁夏回族自治区,,,,
  银川市,83,55,202,115
  石嘴山市,35,23,66,41
  吴忠市,62,19,292,60
  固原市,72,18,427,160
  中卫市,64,24,199,45
新疆维吾尔自治区,,,,
  乌鲁木齐市,155,145,130,121
  克拉玛依市,20,20,28,28
  吐鲁番市,51,22,97,38
  哈密市,38,28,62,47
